m1_source,m2_source,dL,z,likelihood,posterior
5.887139769323786354e+00,1.455316246829472471e+00,2.777777270555112636e+02,6.018462417883954640e-02,1.153315941928793215e-05,1.153315941928793215e-05
5.466301256878177028e+00,1.573240514180916483e+00,2.229003099999999904e+02,4.869082961479999361e-02,1.830509517766986844e-05,1.830509517766986844e-05
6.623157892770770161e+00,1.347387186762311506e+00,2.390190100000000086e+02,5.208526096075209028e-02,1.581710144340678332e-05,1.581710144340678332e-05
6.726207660913221531e+00,1.320423428887065098e+00,2.634156699999999773e+02,5.719360128030116092e-02,1.289761247254180665e-05,1.289761247254180665e-05
4.933952073105188241e+00,1.619876416331006874e+00,3.710579599999999800e+02,7.933196778064184607e-02,6.236488402278753873e-06,6.236488402278753873e-06
5.770708834743206950e+00,1.497030129862403802e+00,2.337553884227725973e+02,5.097851212086528666e-02,1.657223106495398478e-05,1.657223106495398478e-05
7.216863453595491862e+00,1.266879957222915687e+00,2.278787000000000091e+02,4.974089487943208349e-02,1.747906721014946693e-05,1.747906721014946693e-05
9.216449498159347442e+00,1.005602419541097969e+00,3.974515700000000038e+02,8.466584686396780302e-02,5.382456871888714236e-06,5.382456871888714236e-06
7.095681279379777884e+00,1.262678435074191752e+00,2.782256100000000174e+02,6.027771031136381491e-02,1.149404278259359133e-05,1.149404278259359133e-05
4.757399278011937405e+00,1.750066053738705607e+00,2.273521665595951902e+02,4.962990687630575853e-02,1.756382849998461187e-05,1.756382849998461187e-05
3.290929896590521153e+00,2.357323691862290183e+00,2.921781599999999912e+02,6.317181159795057233e-02,1.036592848452584284e-05,1.036592848452584284e-05
6.932441428093688351e+00,1.271736546375024535e+00,3.076241499999999860e+02,6.636292230929377589e-02,9.295321114359384970e-06,9.295321114359384970e-06
3.576146215114734961e+00,2.177576580900670855e+00,3.083962256426165709e+02,6.652208367424283786e-02,9.246082036159379341e-06,9.246082036159379341e-06
6.731797675580542872e+00,1.362986797075199652e+00,1.696291511685710134e+02,3.735889594488466664e-02,3.230059927309931014e-05,3.230059927309931014e-05
5.205237033847781802e+00,1.604066173602795020e+00,2.712042000000000144e+02,5.881710365183941830e-02,1.213023872912855135e-05,1.213023872912855135e-05
5.614385675262788311e+00,1.522769585351065436e+00,2.443908533059005492e+02,5.321306475374909528e-02,1.509708348741766578e-05,1.509708348741766578e-05
3.211043424745506858e+00,2.455469741312618304e+00,2.501404982250443538e+02,5.441829455294085877e-02,1.437816356974737880e-05,1.437816356974737880e-05
6.339835988937925215e+00,1.365910247991877213e+00,2.936295393102199114e+02,6.347223367723503484e-02,1.025791897224935832e-05,1.025791897224935832e-05
6.030860958517520132e+00,1.421913556231904074e+00,2.827356219598980829e+02,6.121440641227938323e-02,1.111067279163946103e-05,1.111067279163946103e-05
4.993933077648209817e+00,1.587067327640610648e+00,3.953549193205600432e+02,8.424343122752953050e-02,5.443929122405523014e-06,5.443929122405523014e-06
4.874693329560257027e+00,1.589153095382310976e+00,4.540201200000000199e+02,9.598030866937624916e-02,4.040172572911962164e-06,4.040172572911962164e-06
5.283509801650257742e+00,1.505472143381187733e+00,4.191596778194272588e+02,8.902640143065844447e-02,4.800769688135778535e-06,4.800769688135778535e-06
5.894692422575541713e+00,1.347072386693517476e+00,5.038688999999999965e+02,1.058234989556766648e-01,3.222263159306175227e-06,3.222263159306175227e-06
6.719421460236900678e+00,1.320044874791629352e+00,2.636966824909013098e+02,5.725224073925080925e-02,1.286871313094489671e-05,1.286871313094489671e-05
5.599720584952368796e+00,1.523079124658179850e+00,2.590420199999999795e+02,5.628038225595013988e-02,1.335984199593167902e-05,1.335984199593167902e-05
7.933864366876493435e+00,1.172640557706179809e+00,2.523428299999999922e+02,5.487942734959100344e-02,1.411596061778187473e-05,1.411596061778187473e-05
7.124624815774263098e+00,1.245973718029418587e+00,3.089230227748896027e+02,6.663066294615953289e-02,9.212702257416862967e-06,9.212702257416862967e-06
3.800220732176421645e+00,2.103439435576999639e+00,2.504733292459953589e+02,5.448800171157781869e-02,1.433808504765542865e-05,1.433808504765542865e-05
6.436392042785426426e+00,1.353954873390453839e+00,2.812225300000000061e+02,6.090027683350066057e-02,1.123719376251991538e-05,1.123719376251991538e-05
4.584137210554476205e+00,1.836097869522220760e+00,1.806968899999999962e+02,3.972790976374290794e-02,2.833562882622989615e-05,2.833562882622989615e-05
6.645936022520851694e+00,1.253572279864534567e+00,4.454530599999999936e+02,9.427682953250743347e-02,4.210126631146625931e-06,4.210126631146625931e-06
6.828354758935774704e+00,1.300214638929456656e+00,2.756940299999999979e+02,5.975141237796697397e-02,1.171771017843493271e-05,1.171771017843493271e-05
6.609234985833759346e+00,1.328117299270730411e+00,2.860141699999999787e+02,6.189460883794492552e-02,1.084353228405811433e-05,1.084353228405811433e-05
3.579525293524309593e+00,2.145245067716739396e+00,3.429149499999999762e+02,7.360470589559225951e-02,7.380131187961250703e-06,7.380131187961250703e-06
6.587456600988676136e+00,1.294659482680604823e+00,3.639495137612570375e+02,7.788928132325437237e-02,6.499816878163487135e-06,6.499816878163487135e-06
4.083723381705745226e+00,1.906206142066321441e+00,3.491986800000000244e+02,7.488710417171223765e-02,7.099972154666327991e-06,7.099972154666327991e-06
5.293413026391545984e+00,1.574968770152098019e+00,2.788705401581601677e+02,6.041172944914303955e-02,1.143805446316480922e-05,1.143805446316480922e-05
6.864466743457925624e+00,1.299685965993181425e+00,2.697622115723557954e+02,5.851678759390221973e-02,1.226721231297546498e-05,1.226721231297546498e-05
7.166822914148709422e+00,1.220881971777945330e+00,3.553589499999999930e+02,7.614227285761102082e-02,6.839988831032940669e-06,6.839988831032940669e-06
5.600688493080487440e+00,1.509537384441012708e+00,2.757424757916459157e+02,5.976148748530477062e-02,1.171337079813291525e-05,1.171337079813291525e-05
6.380539678897977574e+00,1.275121000890928391e+00,4.868912199999999757e+02,1.024840772113122106e-01,3.471803670085329171e-06,3.471803670085329171e-06
6.583500694491529970e+00,1.341477267593062406e+00,2.606482920274069670e+02,5.661590258117740748e-02,1.318732322686463187e-05,1.318732322686463187e-05
7.517781599195838993e+00,1.173772545182223181e+00,3.640576801367023450e+02,7.791125445286330164e-02,6.495690725565766806e-06,6.495690725565766806e-06
7.285932885962077776e+00,1.239916027146231503e+00,2.713329490250736171e+02,5.884391134015754671e-02,1.211811722384373500e-05,1.211811722384373500e-05
8.874022013368563222e+00,1.037959147568336293e+00,3.803750669898408319e+02,8.121893941367963610e-02,5.914048854675348706e-06,5.914048854675348706e-06
3.613919875043163366e+00,2.131842202148983567e+00,3.379175799999999867e+02,7.258332614629545154e-02,7.614486690571828028e-06,7.614486690571828028e-06
6.983613406320383632e+00,1.261762414704990842e+00,3.058748699999999872e+02,6.600219211195984537e-02,9.408296664465120993e-06,9.408296664465120993e-06
4.414642405901146205e+00,1.817844326460443360e+00,2.977541508822559422e+02,6.432533793800146449e-02,9.959737079627349921e-06,9.959737079627349921e-06
7.377548680691949912e+00,1.188954923384217155e+00,3.786728899999999953e+02,8.087453504299867146e-02,5.971133928071465581e-06,5.971133928071465581e-06
7.362332730702657813e+00,1.207185822775805217e+00,3.239650199999999813e+02,6.972454085871630791e-02,8.328754185009298647e-06,8.328754185009298647e-06
7.316369838475508480e+00,1.209367798042411124e+00,3.462175799999999981e+02,7.427897625767508616e-02,7.230932337600262999e-06,7.230932337600262999e-06
7.936000653664701865e+00,1.147434899092733884e+00,3.130734400000000051e+02,6.748557235664823239e-02,8.955719515217349747e-06,8.955719515217349747e-06
6.978525040710896299e+00,1.315666302226159212e+00,1.965315050952429772e+02,4.310375195203169918e-02,2.379906194651817362e-05,2.379906194651817362e-05
7.152045225206475898e+00,1.239717374345876033e+00,3.196556287360299393e+02,6.883944404711114795e-02,8.568982805386744043e-06,8.568982805386744043e-06
4.487527607906635296e+00,1.753174337651582038e+00,3.584893700000000081e+02,7.677933646275471313e-02,6.713116584077927202e-06,6.713116584077927202e-06
