q, m, likelihood
6.030038148098696205e+00,2.749682066467416863e+00,1.000000000000000000e+00
5.705958364270028227e+00,2.401453672014247864e+00,1.000000000000000000e+00
6.030038148098696205e+00,2.749682066467416863e+00,1.000000000000000000e+00
5.824436765463313570e+00,1.632666355103877587e+00,1.000000000000000000e+00
5.816474002054902392e+00,2.755571916324490722e+00,1.000000000000000000e+00
5.772214059531386887e+00,1.469443263565245239e+00,1.000000000000000000e+00
5.854005515371112800e+00,1.031507210776354322e+00,1.000000000000000000e+00
5.711968631752401215e+00,2.610587660329038773e+00,1.000000000000000000e+00
5.951664307207771287e+00,2.745870919048660319e+00,1.000000000000000000e+00
5.731739260565550609e+00,1.405828678704899914e+00,1.000000000000000000e+00
6.006019835505557403e+00,1.036205623954315369e+00,1.000000000000000000e+00
5.781424381811202551e+00,1.652336836874516601e+00,1.000000000000000000e+00
5.795064805607588632e+00,1.953496011471379967e+00,1.000000000000000000e+00
5.855928655554063944e+00,1.030432912509013921e+00,1.000000000000000000e+00
5.746807806009368136e+00,1.611540875545800722e+00,1.000000000000000000e+00
6.008751367761540507e+00,2.383330941469640418e+00,1.000000000000000000e+00
5.881362333952258936e+00,2.594135850288686207e+00,1.000000000000000000e+00
5.910511704224375329e+00,2.248696572393831250e+00,1.000000000000000000e+00
6.030038148098696205e+00,2.749682066467416863e+00,1.000000000000000000e+00
5.806674242694737309e+00,2.298701162456617819e+00,1.000000000000000000e+00
5.954679876082524359e+00,1.211375806581819203e+00,1.000000000000000000e+00
5.676896572272321251e+00,1.093050369296840740e+00,1.000000000000000000e+00
5.812419572068593610e+00,1.589432828053742641e+00,1.000000000000000000e+00
5.840284366404765670e+00,1.732311641866396856e+00,1.000000000000000000e+00
5.711968631752401215e+00,2.610587660329038773e+00,1.000000000000000000e+00
5.711968631752401215e+00,2.610587660329038773e+00,1.000000000000000000e+00
5.817977237975049398e+00,2.132301158987440104e+00,1.000000000000000000e+00
6.030038148098696205e+00,2.749682066467416863e+00,1.000000000000000000e+00
5.705958364270028227e+00,2.401453672014247864e+00,1.000000000000000000e+00
6.064285117556319271e+00,2.717060629684707962e+00,1.000000000000000000e+00
5.881309214849394174e+00,1.806665328758633837e+00,1.000000000000000000e+00
5.892468494005849600e+00,2.364959011729624638e+00,1.000000000000000000e+00
5.800661596527890040e+00,2.708598282729913986e+00,1.000000000000000000e+00
6.020545865465152247e+00,2.187249233775554025e+00,1.000000000000000000e+00
5.979815088564877534e+00,2.790310845868261502e+00,1.000000000000000000e+00
5.775533497820730666e+00,2.725970748338890637e+00,1.000000000000000000e+00
6.082593168005168138e+00,2.361182583725590867e+00,1.000000000000000000e+00
5.796698465174091375e+00,1.142333567987471987e+00,1.000000000000000000e+00
5.696602760863264336e+00,2.885541074864374167e+00,1.000000000000000000e+00
5.937789953176388025e+00,2.217496000057636252e+00,1.000000000000000000e+00
6.006019835505557403e+00,1.036205623954315369e+00,1.000000000000000000e+00
5.658078641014396837e+00,2.316177012262808255e+00,1.000000000000000000e+00
5.881644986911462425e+00,1.267723945918109552e+00,1.000000000000000000e+00
5.881362333952258936e+00,2.594135850288686207e+00,1.000000000000000000e+00
5.803158049299767640e+00,2.792016866111148410e+00,1.000000000000000000e+00
6.059428350539938002e+00,2.317715064794743540e+00,1.000000000000000000e+00
5.899345124217134639e+00,2.751593845177784825e+00,1.000000000000000000e+00
