m,mean,med,lb,ub,obs_mean,obs_med,obs_lb,obs_ub,m1mean,m1med,m1lb,m1ub,obs_m1mean,obs_m1med,obs_m1lb,obs_m1ub,m2mean,m2med,m2lb,m2ub,obs_m2mean,obs_m2med,obs_m2lb,obs_m2ub
2.450000000000001954e+00,3.113477700836304526e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.501993422939606804e-01,6.277778405521898530e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.641449408236953400e-01,5.741906165431617803e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.879092345109086182e-01,1.103164819921232803e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.898910402323167990e-01,4.850492362409915097e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.248945007701277379e-02,1.523908611831469029e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.839884141507387411e-02
2.460000000000001741e+00,2.965358313895375547e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.282782077592718228e-01,6.022160781335769014e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.185988786784542448e-01,5.476361410587784334e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.466854923544186784e-01,1.060378443897066203e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.065701721534614954e-01,4.543552172029666734e-03,0.000000000000000000e+00,0.000000000000000000e+00,9.870923164124967286e-03,1.440537123700876346e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.062758520344694563e-02
2.470000000000001528e+00,2.794176034322318897e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.984580277637265910e-01,5.714384845324319701e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.596471995856750370e-01,5.157586252533124388e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.887713683642115559e-01,1.005173453534534689e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.947818601602055999e-01,4.307658161115131452e-03,0.000000000000000000e+00,0.000000000000000000e+00,8.144687163241634900e-03,1.377035155303292166e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.451253901114447409e-02
2.480000000000001759e+00,2.639912462212275907e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.804072175404672074e-01,5.434650269780418042e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.384686706234446563e-01,4.872769389410758906e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.546896774889948256e-01,9.557174332887614920e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.579311759483852384e-01,4.070555350137926472e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.124757591939596069e-03,1.312126206673220642e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.900616529850412614e-02
2.490000000000001990e+00,2.437913177210929497e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.514590772976924238e-01,5.056407511375834302e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.825381788235913350e-01,4.495105747383820738e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.988036020366733325e-01,8.874604306384585584e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.519561200295590719e-01,3.807206070380385159e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.114552558711500295e-03,1.238210716367083540e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.312023761762362052e-02
2.500000000000001776e+00,2.282432538083185511e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.201617045546171519e-01,4.772025415931981096e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.194981236915167777e-01,4.205406766602676899e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.375784245587431176e-01,8.365388548144420122e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.303817233771455864e-01,3.594583095636941228e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.744984550491178475e-03,1.178662283719542243e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.614524005887976010e-03
2.510000000000001563e+00,2.173744687894312369e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.064822124804347681e-01,4.576626711486485310e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.922289132797716793e-01,4.009153414217744155e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.106508137426284233e-01,8.034669707075316192e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.769169242768517503e-01,3.383359615708804100e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.313611218241100678e-03,1.118583715897654950e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.540902282691614410e-03
2.520000000000001794e+00,2.108152880162537934e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.861575990163058691e-02,4.468867541311508096e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.768365941118933138e-01,3.901933325177726897e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.955266065784988239e-01,7.889010576353013005e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.481915739873805982e-01,3.143724351473489286e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.704913224762338473e-03,1.048724506270003361e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.481614236406053692e-03
2.530000000000002025e+00,1.976676809147254188e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.336204948903559730e-02,4.224448628514081844e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.560812548190317617e-01,3.666454329731110712e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.656225138676354625e-01,7.482223535727222652e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.086080754118165625e-01,2.868992885633974907e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.101585110435727381e-03,9.666737213009412091e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.554434226246950407e-03
2.540000000000001812e+00,1.886348957784005076e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.816010605056320448e-02,4.063822221630883358e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.234391095697709440e-01,3.506146384123825371e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.355975666289294390e-01,7.221490956177148424e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.444398251072342210e-01,2.665515314441847805e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.226454721969610608e-04,9.061534870846175982e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.438394032307657396e-03
