m,likelihood
1.304008217278409321e+00,1.000000000000000000e+00
1.374143152184197358e+00,1.000000000000000000e+00
1.612276842341335836e+00,1.000000000000000000e+00
1.824493048378706517e+00,1.000000000000000000e+00
1.787909059991087624e+00,1.000000000000000000e+00
1.853041402333267307e+00,1.000000000000000000e+00
1.739269515493329088e+00,1.000000000000000000e+00
1.970837364447930007e+00,1.000000000000000000e+00
1.125796293904525847e+00,1.000000000000000000e+00
1.343080093578419953e+00,1.000000000000000000e+00
1.656517693269353053e+00,1.000000000000000000e+00
2.217508192394741062e+00,1.000000000000000000e+00
1.276470636388948199e+00,1.000000000000000000e+00
1.725275271420531276e+00,1.000000000000000000e+00
1.024971906167742919e+00,1.000000000000000000e+00
1.362179293130030500e+00,1.000000000000000000e+00
1.015218167761253731e+00,1.000000000000000000e+00
1.750276313076303047e+00,1.000000000000000000e+00
5.854497777014328053e-01,1.000000000000000000e+00
1.580005529036030198e+00,1.000000000000000000e+00
1.762119904823027383e+00,1.000000000000000000e+00
1.470585979642289320e+00,1.000000000000000000e+00
1.389661527137433072e+00,1.000000000000000000e+00
1.925082769323349430e+00,1.000000000000000000e+00
1.309865923239794672e+00,1.000000000000000000e+00
1.299495066672222698e+00,1.000000000000000000e+00
1.410295808469427703e+00,1.000000000000000000e+00
1.530399619285740531e+00,1.000000000000000000e+00
1.499183296451199743e+00,1.000000000000000000e+00
1.388772071428855392e+00,1.000000000000000000e+00
2.050741986130809824e+00,1.000000000000000000e+00
1.965859078097107915e+00,1.000000000000000000e+00
2.043839851086286075e+00,1.000000000000000000e+00
1.682338159790852439e+00,1.000000000000000000e+00
1.420581891589201673e+00,1.000000000000000000e+00
1.550477482819876629e+00,1.000000000000000000e+00
1.242388693755986928e+00,1.000000000000000000e+00
9.812054049512306531e-01,1.000000000000000000e+00
2.018441186063726356e+00,1.000000000000000000e+00
1.931500578400898505e+00,1.000000000000000000e+00
1.495591583533714353e+00,1.000000000000000000e+00
1.014961014462595568e+00,1.000000000000000000e+00
1.471642141328738829e+00,1.000000000000000000e+00
1.534895921583218525e+00,1.000000000000000000e+00
1.279393960314749945e+00,1.000000000000000000e+00
1.496376299405011823e+00,1.000000000000000000e+00
1.862566483943761009e+00,1.000000000000000000e+00
2.076923569994223673e+00,1.000000000000000000e+00
1.242852996944575406e+00,1.000000000000000000e+00
1.641749854887041726e+00,1.000000000000000000e+00
1.284504942820208662e+00,1.000000000000000000e+00
1.841186477636167718e+00,1.000000000000000000e+00
9.490924983475569343e-01,1.000000000000000000e+00
2.062803076358873167e+00,1.000000000000000000e+00
1.320138021997397493e+00,1.000000000000000000e+00
1.162935009918240947e+00,1.000000000000000000e+00
1.778201277466266550e+00,1.000000000000000000e+00
1.226445019809104808e+00,1.000000000000000000e+00
1.276091381206500897e+00,1.000000000000000000e+00
1.754176198197388903e+00,1.000000000000000000e+00
1.235025316234320103e+00,1.000000000000000000e+00
1.441880483747405739e+00,1.000000000000000000e+00
1.502280195282561515e+00,1.000000000000000000e+00
1.710734706734690747e+00,1.000000000000000000e+00
1.265479610319871773e+00,1.000000000000000000e+00
1.822228510070238006e+00,1.000000000000000000e+00
1.698664866676029117e+00,1.000000000000000000e+00
1.822339816936162649e+00,1.000000000000000000e+00
1.302568244300333467e+00,1.000000000000000000e+00
1.214188614924276655e+00,1.000000000000000000e+00
1.765450550496137971e+00,1.000000000000000000e+00
2.035489112201570805e+00,1.000000000000000000e+00
1.246176057085937705e+00,1.000000000000000000e+00
1.418007450819245285e+00,1.000000000000000000e+00
1.425294584676547904e+00,1.000000000000000000e+00
1.830787638108635429e+00,1.000000000000000000e+00
1.255052246716702236e+00,1.000000000000000000e+00
1.466097288791449849e+00,1.000000000000000000e+00
1.553986587056164659e+00,1.000000000000000000e+00
2.077459006488252768e+00,1.000000000000000000e+00
6.898799716398821280e-01,1.000000000000000000e+00
1.562982297419346134e+00,1.000000000000000000e+00
1.741679603687014355e+00,1.000000000000000000e+00
1.584060005381248359e+00,1.000000000000000000e+00
1.556843349787454756e+00,1.000000000000000000e+00
1.741866017300681024e+00,1.000000000000000000e+00
2.017370732175482129e+00,1.000000000000000000e+00
1.885135802380714987e+00,1.000000000000000000e+00
1.522451313697910980e+00,1.000000000000000000e+00
2.199308253918162315e+00,1.000000000000000000e+00
1.727524867775314776e+00,1.000000000000000000e+00
1.649789843942206957e+00,1.000000000000000000e+00
1.538838736791622308e+00,1.000000000000000000e+00
1.542913473848393835e+00,1.000000000000000000e+00
2.247226118053168520e+00,1.000000000000000000e+00
2.057428597960764716e+00,1.000000000000000000e+00
1.853169197036383720e+00,1.000000000000000000e+00
1.781913849459531685e+00,1.000000000000000000e+00
1.929449903383292364e+00,1.000000000000000000e+00
1.485947349297908060e+00,1.000000000000000000e+00
