m,mean,med,lb,ub,obs_mean,obs_med,obs_lb,obs_ub,m1mean,m1med,m1lb,m1ub,obs_m1mean,obs_m1med,obs_m1lb,obs_m1ub,m2mean,m2med,m2lb,m2ub,obs_m2mean,obs_m2med,obs_m2lb,obs_m2ub
1.510000000000000897e+00,1.150603351571152233e+00,1.948247461495792088e+00,1.672338330335726209e+00,2.141398512688993616e+00,1.131277077997736358e+00,1.917680390357629161e+00,1.610238474462460712e+00,2.124418831237263383e+00,1.067666390087893324e+00,1.785163333865194213e+00,1.663022733460475466e+00,1.922601516966695900e+00,8.485846596769576200e-01,1.413205021337173850e+00,1.300276180007066573e+00,1.544433460464476049e+00,1.233540313054411142e+00,2.111331589126390185e+00,1.681653927210976951e+00,2.360195508411291332e+00,1.413969496318515207e+00,2.422155759378084472e+00,1.920200768917855072e+00,2.704404202010050717e+00
1.520000000000000906e+00,1.149550104369629011e+00,1.945717462716248125e+00,1.671870590688470770e+00,2.139746531974994426e+00,1.139524607204549511e+00,1.931292190399713116e+00,1.622317979645832686e+00,2.139186332133502066e+00,1.090509868086374734e+00,1.822986547183473860e+00,1.697254077067957390e+00,1.966044303529758563e+00,8.776830940107019918e-01,1.461269009438340039e+00,1.341990439200395180e+00,1.599389383549036925e+00,1.208590340652883288e+00,2.068448378249022390e+00,1.646487104308983929e+00,2.313448760420230066e+00,1.401366120398397141e+00,2.401315371361086193e+00,1.902645520091269971e+00,2.678983280717967208e+00
1.530000000000000915e+00,1.148496857168105567e+00,1.942470358399828179e+00,1.671335567778013953e+00,2.136985407842065587e+00,1.147754952689093777e+00,1.945162115624534893e+00,1.633718251933338639e+00,2.154661633843975466e+00,1.113353346084855922e+00,1.859034134073266564e+00,1.730802907860948370e+00,2.009112175577262072e+00,9.073015693639949752e-01,1.510391635961294554e+00,1.383303308770601037e+00,1.655284210942886691e+00,1.183640368251355435e+00,2.025906582726389793e+00,1.611868227695079758e+00,2.264858640106869103e+00,1.388208336014192801e+00,2.379932595287775232e+00,1.884133195096076241e+00,2.654039056745063796e+00
1.540000000000000924e+00,1.147794692367090086e+00,1.940904666016133984e+00,1.670799130425173695e+00,2.135942628892845363e+00,1.156363707501783633e+00,1.959393421561491433e+00,1.645712730949070668e+00,2.170702319472934683e+00,1.128582331417177009e+00,1.883429521127977901e+00,1.753329343298351217e+00,2.039198152714527978e+00,9.298364126385902928e-01,1.547822674629379724e+00,1.414723298925902206e+00,1.697440480234512217e+00,1.167007053317003162e+00,1.998379810904289844e+00,1.588268917551996173e+00,2.232687105071162748e+00,1.382891002364977195e+00,2.370964168493603363e+00,1.876702162972239130e+00,2.643964158711356927e+00
1.550000000000000933e+00,1.146039280364551605e+00,1.935769026224619882e+00,1.669384883527077701e+00,2.131715137061887866e+00,1.163751068406102540e+00,1.970599485621014058e+00,1.657791500276111663e+00,2.183919906208481088e+00,1.166654794747979507e+00,1.945327131218601346e+00,1.807974057593745743e+00,2.111011424660510283e+00,9.760266280685021556e-01,1.624110181740075598e+00,1.480533502732066964e+00,1.784803697685558133e+00,1.125423765981123481e+00,1.926210921230638640e+00,1.530795709460409881e+00,2.152418849463265449e+00,1.351475508743702703e+00,2.317088789501952295e+00,1.835049497820156361e+00,2.583036114731404265e+00
1.560000000000000941e+00,1.144986033163027939e+00,1.933496681076040336e+00,1.668369330903244574e+00,2.128731030600035989e+00,1.171915165717488438e+00,1.982978559729224655e+00,1.668343785282483838e+00,2.199959827214703623e+00,1.189498272746460472e+00,1.982542894047508275e+00,1.840585618982458316e+00,2.153662023086494237e+00,1.007474966638270963e+00,1.676309514917233567e+00,1.524416494180519388e+00,1.845209144433029635e+00,1.100473793579595405e+00,1.884450468104572396e+00,1.496153042824031054e+00,2.103800038113577742e+00,1.336355364796705913e+00,2.289647604541215742e+00,1.812271076384448287e+00,2.554710509996378054e+00
1.570000000000000950e+00,1.143932785961504717e+00,1.930694545968888676e+00,1.667292157254417262e+00,2.126288931101689261e+00,1.180058280876296273e+00,1.996611498150120623e+00,1.679946532101619816e+00,2.215709144117139928e+00,1.212341750744941882e+00,2.019426816829022364e+00,1.872948694455394580e+00,2.196553449464376584e+00,1.039507995082430858e+00,1.730310970084510291e+00,1.568528881850228096e+00,1.906071286983408886e+00,1.075523821178067330e+00,1.841962275108755209e+00,1.461635620053439943e+00,2.056024412739001939e+00,1.320608566670161910e+00,2.262912026215730954e+00,1.791364182353011758e+00,2.525347001250871415e+00
1.580000000000000959e+00,1.142879538759981717e+00,1.928052800582533255e+00,1.665465709961459373e+00,2.123515002257452267e+00,1.188181895792342235e+00,2.009513182911311091e+00,1.692390897918595538e+00,2.231098106468145659e+00,1.235185228743423513e+00,2.056165916460022114e+00,1.904077613339068886e+00,2.238532947627087211e+00,1.072095231500264756e+00,1.785253188806455560e+00,1.614420517509951081e+00,1.968327307384432956e+00,1.050573848776539698e+00,1.799939684705044396e+00,1.426853806583849860e+00,2.008497056887817322e+00,1.304268560084419715e+00,2.233773177016166844e+00,1.770361278327239773e+00,2.493868905551858806e+00
1.590000000000000968e+00,1.142177373958965791e+00,1.926767838624234397e+00,1.664576242457303401e+00,2.121997466089581508e+00,1.196714292986679196e+00,2.023425305131886454e+00,1.705095413431029883e+00,2.246189534926995801e+00,1.250414214075744157e+00,2.081719004814200247e+00,1.925706251820247683e+00,2.267476307276490299e+00,1.097005014230322928e+00,1.827052564769090948e+00,1.650275079976561532e+00,2.013857756481364891e+00,1.033940533842187426e+00,1.771816672434268769e+00,1.403446233094359119e+00,1.976518624902672494e+00,1.296423571743035463e+00,2.219798045494681737e+00,1.759915746885498455e+00,2.478521313372626711e+00
1.600000000000000977e+00,1.142177373958965791e+00,1.926767838624234397e+00,1.664576242457303401e+00,2.121997466089581508e+00,1.206110509122148677e+00,2.039305832179674649e+00,1.718454765300676090e+00,2.263826031851463583e+00,1.250414214075744157e+00,2.081719004814200247e+00,1.925706251820247683e+00,2.267476307276490299e+00,1.105491615682251405e+00,1.841171106605334007e+00,1.663010716355551644e+00,2.029443169799444391e+00,1.033940533842187426e+00,1.771816672434268769e+00,1.403446233094359119e+00,1.976518624902672494e+00,1.306729402562045728e+00,2.237440557754015291e+00,1.773898814245800315e+00,2.498208893903483219e+00
